guide	group	tc_id	description
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	A — Signup (Email/Password)	AUTH-TC-A01	Successful signup with valid details
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	A — Signup (Email/Password)	AUTH-TC-A02	Field validation errors (name/email/phone/password)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	A — Signup (Email/Password)	AUTH-TC-A03	Password mismatch + weak password
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	A — Signup (Email/Password)	AUTH-TC-A04	Under-18 date of birth blocked
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	A — Signup (Email/Password)	AUTH-TC-A05	Duplicate email blocked
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	A — Signup (Email/Password)	AUTH-TC-A06	Optional referral code (valid / invalid handling)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	A — Signup (Email/Password)	AUTH-TC-A07	Terms of Service & Privacy Policy links
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	A — Signup (Email/Password)	AUTH-TC-A08	Landing footer legal links (Terms / Privacy Policy)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	B — Login & Session Restore	AUTH-TC-B01	Successful login routes by onboarding status
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	B — Login & Session Restore	AUTH-TC-B02	Invalid credentials error
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	B — Login & Session Restore	AUTH-TC-B03	Forgot Password link
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	B — Login & Session Restore	AUTH-TC-B04	Session restore after app kill/relaunch
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	B — Login & Session Restore	AUTH-TC-B05	App resume refreshes silently (no spinner)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	B — Login & Session Restore	AUTH-TC-B06	Cold launch does not hang on spinner
