guide	tc_id	group	description	sub_steps	latest_verdict	latest_date	source_path	still_open	has_pass	finding_note	first_pass_date
ACC	ACC-TC-A01	A — Settings Hub	Settings screen sections + rows render	1	PASS	2026-08-24	e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-A02	A — Settings Hub	Sign Out confirmation	1	PASS	2026-08-24	e2e-test-results/account-file-groups-abcd-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-A03	A — Settings Hub	Test Push Notification (rate limit / quiet hours / queued)	1	PASS	2026-08-25	e2e-test-results/account-file-groups-a-g-full-closure-2026-08-25/report.md		YES		2026-08-25
ACC	ACC-TC-A04	A — Settings Hub	Settings → legal & help links navigate	1	PASS	2026-08-24	e2e-test-results/account-file-groups-abcd-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-A05	A — Settings Hub	"""Manage Payment Methods"" row navigates"	1	PASS	2026-08-24	e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-B01	B — Edit Profile	Edit profile fields load + save (optimistic)	1	PASS	2026-08-24	e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-B02	B — Edit Profile	Email change requires re-verification	1	PASS	2026-08-26	e2e-test-results/account-file-j-legal-email-stall-2026-08-26/report.md		YES		2026-08-26
ACC	ACC-TC-B03	B — Edit Profile	Phone change → OTP verification modal	1	BLOCKED	2026-08-26	e2e-test-results/account-file-full-closure-b02-b03-h05-h06-h07-s03-l01-l04-2026-08-26/report.md	YES	YES	re-opened (env/fixture) — PASS on record 2026-08-24 — Real SMS leg impossible: Twilio error 21606 (From `+19853154226` not message-capable for `+15519985017`); client silently dev-bypassed, no SMS delivered.	2026-08-24
ACC	ACC-TC-B04	B — Edit Profile	Avatar upload	1	PASS	2026-08-24	e2e-test-results/account-file-groups-abcd-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-B05	B — Edit Profile	Profile screen stats, badges, reviews, status badge	1	PASS	2026-08-24	e2e-test-results/account-file-groups-abcd-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-B06	B — Edit Profile	Form validation (phone 10-digit, email format)	1	PASS	2026-08-24	e2e-test-results/account-file-groups-abcd-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-B07	B — Edit Profile	"""No Changes"" alert"	1	PASS	2026-08-24	e2e-test-results/account-file-groups-abcd-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-B08	B — Edit Profile	Waitlist prompt (unreachable from Edit Profile — flag)	1	PASS	2026-08-25	e2e-test-results/account-file-b-h-ikl-2026-08-25/report.md		YES		2026-08-24
ACC	ACC-TC-B09	B — Edit Profile	"""Already verified"" phone path"	1	PASS	2026-08-25	e2e-test-results/account-file-b-h-ikl-2026-08-25/report.md		YES		2026-08-25
ACC	ACC-TC-B10	B — Edit Profile	"Locked-field ""cannot be changed"" alerts"	1	PASS	2026-08-26	e2e-test-results/account-file-full-closure-b02-b03-h05-h06-h07-s03-l01-l04-2026-08-26/report.md		YES		2026-08-24
ACC	ACC-TC-C01	C — Linked Accounts	Linked accounts list (email readonly, password, social)	1	PASS	2026-08-24	e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-C02	C — Linked Accounts	Link a social provider (password re-auth gate)	1	PASS	2026-08-24	e2e-test-results/account-file-groups-abcd-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-C03	C — Linked Accounts	Unlink provider (confirmation + last-method guard)	1	PASS	2026-08-25	e2e-test-results/account-file-groups-a-g-full-closure-2026-08-25/report.md		YES		2026-08-25
ACC	ACC-TC-C04	C — Linked Accounts	Email mismatch on link blocked	1	PASS	2026-08-25	e2e-test-results/account-file-groups-a-g-full-closure-2026-08-25/report.md		YES		2026-08-24
ACC	ACC-TC-D01	D — Notification Preferences	Five categories × three channel toggles	1	PASS	2026-08-24	e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-D02	D — Notification Preferences	Optimistic toggle reverts on failure	1	PASS	2026-08-25	e2e-test-results/account-file-groups-a-g-full-closure-2026-08-25/report.md		YES		2026-08-25
ACC	ACC-TC-D03	D — Notification Preferences	Quiet hours toggle + time validation	1	PASS	2026-08-24	e2e-test-results/account-file-groups-abcd-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-D04	D — Notification Preferences	Empty state → Initialize Settings	1	PASS	2026-08-24	e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-E01	E — Delete Account (COPPA)	Delete account consequences + password gate	1	PASS	2026-08-24	e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-E02	E — Delete Account (COPPA)	Wrong password blocked	1	PASS	2026-08-24	e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-E03	E — Delete Account (COPPA)	Two-step confirmation → deletion + logout	1	PASS	2026-08-24	e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md		YES		2026-08-24
